"Liga/Kategorie","Angezeigter Name (offiziell)","TTS-Vorlage","Fakten-Text (angezeigt, nur Legenden)","Fakten-Text TTS-Vorlage (nur Legenden)"
"Bundesliga","FC Bayern München","FC Bayern München","",""
"Bundesliga","Borussia Dortmund","Borussia Dortmund","",""
"Bundesliga","RB Leipzig","RB Leipzig","",""
"Bundesliga","VfB Stuttgart","VfB Stuttgart","",""
"Bundesliga","TSG 1899 Hoffenheim","TSG 1899 Hoffenheim","",""
"Bundesliga","Bayer 04 Leverkusen","Bayer 04 Leverkusen","",""
"Bundesliga","SC Freiburg","SC Freiburg","",""
"Bundesliga","Eintracht Frankfurt","Eintracht Frankfurt","",""
"Bundesliga","FC Augsburg","FC Augsburg","",""
"Bundesliga","1. FSV Mainz 05","Erster FSV Mainz 05","",""
"Bundesliga","1. FC Union Berlin","Erster FC Union Berlin","",""
"Bundesliga","Borussia Mönchengladbach","Borussia Mönchengladbach","",""
"Bundesliga","Hamburger SV","Hamburger Äss Fau","",""
"Bundesliga","1. FC Köln","Erster FC Köln","",""
"Bundesliga","SV Werder Bremen","SV Werder Bremen","",""
"Bundesliga","FC Schalke 04","FC Schalke 04","",""
"Bundesliga","SV Elversberg","SV Elversberg","",""
"Bundesliga","SC Paderborn 07","SC Paderborn Null Sieben","",""
"2. Bundesliga","1. FC Magdeburg","Erster FC Magdeburg","",""
"2. Bundesliga","Arminia Bielefeld","Arminia Bielefeld","",""
"2. Bundesliga","Dynamo Dresden","Dynamo Dresden","",""
"2. Bundesliga","Eintracht Braunschweig","Eintracht Braunschweig","",""
"2. Bundesliga","Energie Cottbus","Energie Cottbus","",""
"2. Bundesliga","1. FC Heidenheim","Erster FC Heidenheim","",""
"2. Bundesliga","1. FC Kaiserslautern","Erster FC Kaiserslautern","",""
"2. Bundesliga","1. FC Nürnberg","Erster FC Nürnberg","",""
"2. Bundesliga","FC St. Pauli","FC Sankt Pauli","",""
"2. Bundesliga","Hannover 96","Hannover sechs und neunzig","",""
"2. Bundesliga","Hertha BSC","Hertha BSC","",""
"2. Bundesliga","Holstein Kiel","Holstein Kiel","",""
"2. Bundesliga","Karlsruher SC","Karlsruher SC","",""
"2. Bundesliga","SpVgg Greuther Fürth","Spielvereinigung Greuther Fürth","",""
"2. Bundesliga","SV Darmstadt 98","SV Darmstadt acht und neunzig","",""
"2. Bundesliga","VfL Bochum","VfL Bochum","",""
"2. Bundesliga","VfL Osnabrück","VfL Osnabrück","",""
"2. Bundesliga","VfL Wolfsburg","Fau Äff L Wolfsburg","",""
"3. Liga","MSV Duisburg","MSV Duisburg","",""
"3. Liga","1. FC Saarbrücken","Erster FC Saarbrücken","",""
"3. Liga","Würzburger Kickers","Würzburger Kickers","",""
"3. Liga","Alemannia Aachen","Alemannia Aachen","",""
"3. Liga","Preußen Münster","Preußen Münster","",""
"3. Liga","Hansa Rostock","Hansa Rostock","",""
"3. Liga","SV Waldhof Mannheim","SV Waldhof Mannheim","",""
"3. Liga","SSV Jahn Regensburg","SSV Jahn Regensburg","",""
"3. Liga","TSG 1899 Hoffenheim II","TSG 1899 Hoffenheim zwei","",""
"3. Liga","Viktoria Köln","Viktoria Köln","",""
"3. Liga","VfB Stuttgart II","VfB Stuttgart zwei","",""
"3. Liga","SV Meppen","SV Meppen","",""
"3. Liga","SG Sonnenhof Großaspach","SG Sonnenhof Großaspach","",""
"3. Liga","Rot-Weiss Essen","Rot-Weiss Essen","",""
"3. Liga","FC Ingolstadt 04","FC Ingolstadt 04","",""
"3. Liga","SC Fortuna Köln","SC Fortuna Köln","",""
"3. Liga","TSV Havelse","TSV Havelse","",""
"3. Liga","Fortuna Düsseldorf","Fortuna Düsseldorf","",""
"3. Liga","SC Verl","SC Wärl","",""
"3. Liga","SV Wehen Wiesbaden","SV Wehen Wiesbaden","",""
"International","AC Milan","AC Milan","",""
"International","Ajax Amsterdam","Ajax Amsterdam","",""
"International","FC Arsenal","FC Arsenal","",""
"International","Atlético Madrid","Atlético Madrid","",""
"International","FC Chelsea","FC Chelsea","",""
"International","FC Barcelona","FC Barcelona","",""
"International","FC Basel","FC Basel","",""
"International","Fenerbahçe Istanbul","Fenerbahçe Istanbul","",""
"International","Feyenoord Rotterdam","Feyenoord Rotterdam","",""
"International","Galatasaray Istanbul","Galatasaray Istanbul","",""
"International","Inter Miami CF","Inter Miami CF","",""
"International","Inter Mailand","Inter Mailand","",""
"International","Juventus Turin","Juventus Turin","",""
"International","LA Galaxy","LA Galaxy","",""
"International","FC Liverpool","FC Liverpool","",""
"International","Manchester City","Manchester City","",""
"International","Manchester United","Manchester United","",""
"International","Olympique Lyon","Olympique Lyon","",""
"International","Paris Saint-Germain","Paris Saint-Germain","",""
"International","PSV Eindhoven","PSV Eindhoven","",""
"International","SK Rapid Wien","SK Rapid Wien","",""
"International","Real Madrid","Real Madrid","",""
"International","FC Red Bull Salzburg","FC Red Bull Salzburg","",""
"International","Vancouver Whitecaps FC","Vancouver Whitecaps FC","",""
"Legenden","Franz Beckenbauer","Franz Beckenbauer","Dieser Spieler kommt aus Deutschland und wird „der Kaiser” genannt. Er spielte fast seine ganze Karriere für den FC Bayern München und wurde 1974 mit Deutschland als Kapitän Weltmeister. Als Trainer gewann er den Titel 1990 sogar noch einmal.","Dieser Spieler kommt aus Deutschland und wird „der Kaiser” genannt. Er spielte fast seine ganze Karriere für den FC Bayern München und wurde neunzehnhundertvierundsiebzig mit Deutschland als Kapitän Weltmeister. Als Trainer gewann er den Titel neunzehnhundertneunzig sogar noch einmal."
"Legenden","Pelé","Pelé","Dieser Spieler kommt aus Brasilien und gilt für viele als der beste Fußballer aller Zeiten. Fast seine ganze Karriere spielte er für den Verein FC Santos. Mit Brasilien wurde er dreimal Weltmeister: 1958, 1962 und 1970.","Dieser Spieler kommt aus Brasilien und gilt für viele als der beste Fußballer aller Zeiten. Fast seine ganze Karriere spielte er für den Verein FC Santos. Mit Brasilien wurde er dreimal Weltmeister: neunzehnhundertachtundfünfzig, neunzehnhundertzweiundsechzig und neunzehnhundertsiebzig."
"Legenden","Ronaldinho","Ronaldinho","Dieser Spieler kommt aus Brasilien und ist berühmt für seine Tricks und sein Lächeln auf dem Platz. Er spielte unter anderem für den FC Barcelona. Mit Brasilien wurde er 2002 Weltmeister, und 2005 wurde er zum besten Fußballer der Welt gewählt.","Dieser Spieler kommt aus Brasilien und ist berühmt für seine Tricks und sein Lächeln auf dem Platz. Er spielte unter anderem für den FC Barcelona. Mit Brasilien wurde er zweitausendzwei Weltmeister, und zweitausendfünf wurde er zum besten Fußballer der Welt gewählt."
"Legenden","Fritz Walter","Fritz Walter","Dieser Spieler kommt aus Deutschland und blieb sein ganzes Leben lang bei einem einzigen Verein: dem 1. FC Kaiserslautern. Als Kapitän führte er die deutsche Nationalmannschaft 1954 zum ersten deutschen Weltmeistertitel, dem berühmten „Wunder von Bern”.","Dieser Spieler kommt aus Deutschland und blieb sein ganzes Leben lang bei einem einzigen Verein: dem Ersten FC Kaiserslautern. Als Kapitän führte er die deutsche Nationalmannschaft neunzehnhundertvierundfünfzig zum ersten deutschen Weltmeistertitel, dem berühmten „Wunder von Bern”."
"Legenden","Miroslav Klose","Miroslav Klose","Dieser Spieler kommt aus Deutschland und war mit 16 Toren von 2014 bis 2026 Rekordtorschütze der Fußball-Weltmeisterschaften, bis Lionel Messi ihn 2026 überholte. Seine Karriere begann er beim 1. FC Kaiserslautern, später spielte er unter anderem für Werder Bremen und den FC Bayern München. Mit Deutschland wurde er 2014 Weltmeister.","Dieser Spieler kommt aus Deutschland und war mit sechzehn Toren von zweitausendvierzehn bis zweitausendsechsundzwanzig Rekordtorschütze der Fußball-Weltmeisterschaften, bis Lionel Messi ihn zweitausendsechsundzwanzig überholte. Seine Karriere begann er beim Ersten FC Kaiserslautern, später spielte er unter anderem für Werder Bremen und den FC Bayern München. Mit Deutschland wurde er zweitausendvierzehn Weltmeister."
"Legenden","Lionel Messi","Lionel Messi","Dieser Spieler kommt aus Argentinien und gewann den Ballon d'Or, die Auszeichnung für den besten Fußballer der Welt, rekordverdächtige achtmal. Fast seine ganze Karriere spielte er für den FC Barcelona. Mit Argentinien wurde er 2022 endlich Weltmeister.","Dieser Spieler kommt aus Argentinien und gewann den Ballon d'Or, die Auszeichnung für den besten Fußballer der Welt, rekordverdächtige achtmal. Fast seine ganze Karriere spielte er für den FC Barcelona. Mit Argentinien wurde er zweitausendzweiundzwanzig endlich Weltmeister."
"Legenden","Cristiano Ronaldo","Cristiano Ronaldo","Dieser Spieler kommt aus Portugal und gewann den Ballon d'Or fünfmal. Er spielte unter anderem für Manchester United, Real Madrid und Juventus Turin und wurde fünfmal Champions-League-Sieger. Mit Portugal gewann er 2016 die Europameisterschaft.","Dieser Spieler kommt aus Portugal und gewann den Ballon d'Or fünfmal. Er spielte unter anderem für Manchester United, Real Madrid und Juventus Turin und wurde fünfmal Champions-League-Sieger. Mit Portugal gewann er zweitausendsechzehn die Europameisterschaft."
"Legenden","David Beckham","David Beckham","Dieser Spieler kommt aus England und ist berühmt für seine präzisen Freistöße und Flanken. Er spielte unter anderem für Manchester United und Real Madrid und gewann 1999 mit Manchester United gleich drei große Titel in einem Jahr.","Dieser Spieler kommt aus England und ist berühmt für seine präzisen Freistöße und Flanken. Er spielte unter anderem für Manchester United und Real Madrid und gewann neunzehnhundertneunundneunzig mit Manchester United gleich drei große Titel in einem Jahr."
"Legenden","Gianluigi Buffon","Gianluigi Buffon","Dieser Spieler kommt aus Italien und war einer der besten Torhüter der Fußballgeschichte. Fast seine gesamte Karriere spielte er für Juventus Turin. Mit Italien wurde er 2006 Weltmeister.","Dieser Spieler kommt aus Italien und war einer der besten Torhüter der Fußballgeschichte. Fast seine gesamte Karriere spielte er für Juventus Turin. Mit Italien wurde er zweitausendsechs Weltmeister."
"Legenden","Diego Maradona","Diego Maradona","Dieser Spieler kommt aus Argentinien und gilt für viele als einer der größten Fußballer aller Zeiten. Er spielte unter anderem für den FC Barcelona und den SSC Neapel. Mit Argentinien wurde er 1986 Weltmeister und schoss dabei das berühmte „Jahrhunderttor” gegen England.","Dieser Spieler kommt aus Argentinien und gilt für viele als einer der größten Fußballer aller Zeiten. Er spielte unter anderem für den FC Barcelona und den SSC Neapel. Mit Argentinien wurde er neunzehnhundertsechsundachtzig Weltmeister und schoss dabei das berühmte Jahrhunderttor gegen England."

